pid,name,cpu_usage,memory_usage,read_bytes,write_bytes,status,create_time,nice,n_threads,cores
20484,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 03:13,0,1,2
20475,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 03:13,0,1,2
20377,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:48,0,1,2
20375,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 03:09,0,1,2
20327,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:49,0,1,2
20326,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:49,0,1,2
20306,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 03:06,0,1,2
20304,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:48,0,1,2
20303,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:48,0,1,2
20397,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:49,0,1,2
20296,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 03:06,0,1,2
20274,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:47,0,1,2
20273,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:47,0,1,2
20263,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:46,0,1,2
20262,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:46,0,1,2
20250,xrdp,0,0.00B,0.00B,36.00KB,zombie,11-04-2021 16:46,0,1,2
20242,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:46,0,1,2
20235,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 03:04,0,1,2
20283,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 03:05,0,1,2
20482,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:51,0,1,2
20398,xrdp,0,0.00B,0.00B,28.00KB,zombie,11-04-2021 16:49,0,1,2
20403,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:51,0,1,2
20474,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 03:13,0,1,2
20471,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 03:12,0,1,2
20469,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:54,0,1,2
20468,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:54,0,1,2
20466,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:54,0,1,2
20458,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 03:12,0,1,2
20457,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 03:12,0,1,2
20399,xrdp,0,0.00B,0.00B,28.00KB,zombie,11-04-2021 16:49,0,1,2
20443,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:53,0,1,2
20435,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:53,0,1,2
20425,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:52,0,1,2
20424,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:52,0,1,2
20414,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 03:10,0,1,2
20410,xrdp,0,0.00B,0.00B,28.00KB,zombie,11-04-2021 16:49,0,1,2
20409,xrdp,0,0.00B,0.00B,28.00KB,zombie,11-04-2021 16:49,0,1,2
20405,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:51,0,1,2
20439,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 03:11,0,1,2
20921,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 10:09,0,1,2
19779,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:31,0,1,2
19773,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:47,0,1,2
18908,xrdp,0,0.00B,0.00B,36.00KB,zombie,10-04-2021 09:02,0,1,2
18905,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:02,0,1,2
18904,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:02,0,1,2
18898,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:08,0,1,2
18893,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:02,0,1,2
18882,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:01,0,1,2
18881,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:01,0,1,2
18880,xrdp,0,0.00B,0.00B,36.00KB,zombie,10-04-2021 09:01,0,1,2
18879,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:01,0,1,2
18868,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:00,0,1,2
18829,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:13,0,1,2
18802,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:12,0,1,2
18791,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 08:59,0,1,2
18790,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 08:59,0,1,2
18789,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 08:59,0,1,2
18911,xrdp,0,0.00B,0.00B,36.00KB,zombie,11-04-2021 16:09,0,1,2
18912,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:09,0,1,2
18926,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:03,0,1,2
18927,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:03,0,1,2
19131,xrdp,0,0.00B,0.00B,40.00KB,zombie,11-04-2021 02:24,0,1,2
19130,xrdp,0,0.00B,0.00B,28.00KB,zombie,11-04-2021 02:24,0,1,2
19122,xrdp,0,0.00B,0.00B,36.00KB,zombie,11-04-2021 02:24,0,1,2
19119,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:23,0,1,2
19017,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:12,0,1,2
19003,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:19,0,1,2
19002,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:19,0,1,2
18788,xrdp,0,0.00B,0.00B,36.00KB,zombie,10-04-2021 08:59,0,1,2
18994,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:11,0,1,2
18992,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:18,0,1,2
18981,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:18,0,1,2
18971,xrdp,0,0.00B,0.00B,36.00KB,zombie,11-04-2021 02:17,0,1,2
18970,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:17,0,1,2
18939,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:16,0,1,2
18938,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:16,0,1,2
18928,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:03,0,1,2
18993,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:11,0,1,2
18784,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:04,0,1,2
18780,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 08:59,0,1,2
18778,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 08:59,0,1,2
18707,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:09,0,1,2
18705,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 08:56,0,1,2
18698,xrdp,0,0.00B,0.00B,36.00KB,zombie,11-04-2021 02:09,0,1,2
18697,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:09,0,1,2
18694,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 08:55,0,1,2
18685,xrdp,0,0.00B,0.00B,28.00KB,zombie,11-04-2021 02:08,0,1,2
18684,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 08:55,0,1,2
18710,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:09,0,1,2
18683,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:08,0,1,2
18679,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:00,0,1,2
18675,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:08,0,1,2
18673,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:08,0,1,2
18672,xrdp,0,0.00B,0.00B,36.00KB,zombie,11-04-2021 02:08,0,1,2
18660,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:07,0,1,2
18659,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:07,0,1,2
18650,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:07,0,1,2
18681,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:00,0,1,2
19140,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:24,0,1,2
18716,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 08:56,0,1,2
18729,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:02,0,1,2
18777,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 08:59,0,1,2
18774,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 08:59,0,1,2
18770,xrdp,0,0.00B,0.00B,56.00KB,zombie,11-04-2021 16:04,0,1,2
18767,xrdp,0,0.00B,0.00B,36.00KB,zombie,11-04-2021 02:10,0,1,2
18765,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 08:58,0,1,2
18763,xrdp,0,0.00B,0.00B,36.00KB,zombie,10-04-2021 08:58,0,1,2
18755,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:10,0,1,2
18725,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:02,0,1,2
18754,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:10,0,1,2
18752,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:10,0,1,2
18748,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 08:57,0,1,2
18744,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:03,0,1,2
18740,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 08:57,0,1,2
18739,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 08:57,0,1,2
18738,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 08:57,0,1,2
18737,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:02,0,1,2
18753,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 08:58,0,1,2
19141,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:24,0,1,2
19164,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:13,0,1,2
19166,xrdp,0,0.00B,0.00B,36.00KB,zombie,11-04-2021 16:13,0,1,2
19655,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:44,0,1,2
19654,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:44,0,1,2
19653,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:27,0,1,2
19651,xrdp,0,0.00B,0.00B,36.00KB,zombie,11-04-2021 16:27,0,1,2
19642,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:27,0,1,2
19628,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:26,0,1,2
19627,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:26,0,1,2
19657,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:44,0,1,2
19623,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:43,0,1,2
19600,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:25,0,1,2
19599,xrdp,0,0.00B,0.00B,36.00KB,zombie,10-04-2021 09:25,0,1,2
19591,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:41,0,1,2
19590,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:41,0,1,2
19589,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:41,0,1,2
19579,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:40,0,1,2
19558,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:24,0,1,2
19620,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:42,0,1,2
19557,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:24,0,1,2
19665,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:44,0,1,2
19675,kworker/u4:1-events_power_efficient,0,0.00B,0.00B,0.00B,idle,11-04-2021 16:28,0,1,2
19772,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:47,0,1,2
19771,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:47,0,1,2
19762,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:47,0,1,2
19760,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:30,0,1,2
19758,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:30,0,1,2
19757,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:46,0,1,2
19748,xrdp,0,0.00B,0.00B,36.00KB,zombie,11-04-2021 02:46,0,1,2
19674,xrdp,0,0.00B,0.00B,36.00KB,zombie,10-04-2021 09:28,0,1,2
19747,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:46,0,1,2
19738,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:46,0,1,2
19726,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:45,0,1,2
19710,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:29,0,1,2
19698,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:29,0,1,2
19697,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:29,0,1,2
19678,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:28,0,1,2
19677,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:28,0,1,2
19746,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:46,0,1,2
19774,xrdp,0,0.00B,0.00B,36.00KB,zombie,11-04-2021 02:47,0,1,2
19553,xrdp,0,0.00B,0.00B,32.00KB,zombie,10-04-2021 09:24,0,1,2
19523,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:22,0,1,2
19391,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:34,0,1,2
19386,xrdp,0,0.00B,0.00B,36.00KB,zombie,11-04-2021 16:17,0,1,2
19385,kworker/0:0-events,0,0.00B,0.00B,0.00B,idle,11-04-2021 16:17,0,1,1
19377,xrdp,0,0.00B,0.00B,28.00KB,zombie,11-04-2021 16:17,0,1,2
19375,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:17,0,1,2
19355,xrdp,0,0.00B,0.00B,36.00KB,zombie,11-04-2021 02:32,0,1,2
19352,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:32,0,1,2
19393,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:34,0,1,2
19317,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:30,0,1,2
19255,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 02:29,0,1,2
19241,xrdp,0,0.00B,0.00B,32.00KB,zombie,11-04-2021 16:15,0,1,2
